"","x"
"1","100_Effluent"
"2","100_Effluent"
"3","100_Effluent"
"4","100_Effluent"
"5","100_Effluent"
"6","100_Effluent"
"7","100_Effluent"
"8","100_Effluent"
"9","100_Effluent"
"10","100_Effluent"
"11","100_Effluent"
"12","100_Effluent"
"13","20_Effluent"
"14","20_Effluent"
"15","20_Effluent"
"16","20_Effluent"
"17","20_Effluent"
"18","20_Effluent"
"19","20_Effluent"
"20","20_Effluent"
"21","20_Effluent"
"22","20_Effluent"
"23","20_Effluent"
"24","20_Effluent"
"25","5_Effluent"
"26","5_Effluent"
"27","5_Effluent"
"28","5_Effluent"
"29","5_Effluent"
"30","5_Effluent"
"31","5_Effluent"
"32","5_Effluent"
"33","5_Effluent"
"34","5_Effluent"
"35","5_Effluent"
"36","5_Effluent"
"37","Control"
"38","Control"
"39","Control"
"40","Control"
"41","Control"
"42","Control"
"43","Control"
"44","Control"
"45","Control"
"46","Control"
"47","Control"
"48","Control"
