"","Pos_629_Creatine.Creatine","Pos_846_Unidentified","Pos_1951_Unidentified","Pos_2044_Unidentified","Pos_2317_Unidentified","Pos_2375_Unidentified","Pos_3160_Unidentified","Neg_2118_Unidentified","Neg_2461_Unidentified","Neg_3431_Unidentified"
"1","63.36857","0.2783301","0.3465778","0.2140846","1.791246","0.09568269","0.1603314","0.5222773","0.1554816","0.08825223"
"2","50.74248","0.4959163","0.1766501","0.2063296","1.554667","0.07064567","0.2383342","1.67719","0.1359576","0.04828477"
"3","47.57408","0.5650748","0.3009841","0.2910462","1.86443","0.08839568","0.5416243","1.716966","0.1402305","0.02899614"
"4","119.5968","0.4230993","0.2012466","0.1399825","3.082275","0.04934691","0.234767","0.8472594","0.1486817","0.09488618"
"5","18.507","0.5404369","0.165029","0.1054189","0.6066863","0.04795641","0.4789514","2.192438","0.1232491","0.03839894"
"6","39.05993","0.3887396","0.1482778","0.1268236","1.534112","0.06099862","0.221014","3.22507","0.08236397","0.03518569"
"7","92.78017","0.4069922","0.21599","0.1762329","2.317306","0.07500486","0.2778585","0.4605914","0.09183469","0.0706459"
"8","71.17949","0.6510546","0.1791933","0.2443859","2.338805","0.09744847","0.3895464","2.13056","0.2381745","0.05524133"
"9","59.20017","0.6445686","0.2711246","0.1243134","1.16505","0.05660251","0.3209688","0.3132447","0.2353333","0.03773313"
"10","90.03679","0.4316146","0.3475908","0.2506203","3.417491","0.1047417","0.271178","0.3594324","0.1924262","0.04960956"
"11","46.07133","0.4735397","0.1637881","0.3982034","1.46761","0.1677321","0.2373407","0.5677802","0.1293794","0.05323726"
"12","40.46376","0.4387249","0.0964365","0.2177986","1.534844","0.06568906","0.2250786","1.236651","0.06632254","0.02826461"
"13","43.44718","0.8049027","0.2571008","0.4043074","1.565512","0.1545616","0.1050939","1.206297","0.1077552","0.04319424"
"14","15.74644","0.8124117","0.3868252","0.6003882","0.4999799","0.1833157","0.08470054","0.6069753","0.06665471","0.03822064"
"15","11.57409","1.186199","0.406596","0.7735666","0.3251759","0.2265013","0.1245944","1.825419","0.07021501","0.04334143"
"16","55.44826","1.37294","0.2754756","0.4385197","1.841717","0.1363473","0.1873857","1.008605","0.08917037","0.03615946"
"17","24.37538","1.047429","0.4104868","0.5145937","0.8259302","0.2122968","0.3267007","1.290059","0.1024492","0.06304851"
"18","14.78094","0.5356125","0.3791706","0.3892326","0.1707823","0.1727353","0.09498741","0.6354513","0.06934728","0.04261678"
"19","41.47578","1.288984","0.2460835","0.2694202","1.669131","0.1085482","0.3402408","0.7064708","0.1233688","0.02784462"
"20","31.35156","0.955891","0.3123143","0.4178438","0.7958169","0.1777095","0.1484226","0.6102438","0.08560866","0.02958381"
"21","12.00293","0.6822919","0.3936914","0.3102709","0.4360891","0.1195782","0.1149546","1.191226","0.06153642","0.02934816"
"22","34.25207","0.8626752","0.4442169","0.4392802","1.361971","0.1744448","0.1386633","0.7283358","0.1437925","0.0343376"
"23","83.71563","0.5984173","0.2310543","0.2759397","2.569142","0.1126399","0.1178672","2.468589","0.1498822","0.039677"
