"Ion Mode","Name","Formula","Molecular Weight","RT [Min]","Levels","Fish Coverage"
"Pos","INOSINE","C10 H12 N4 O5",268.08077,1.141,"MSI Level I; level 1",NA
"Pos","Raspberry ketone","C10 H12 O2",164.08373,13.857,"MSI Level III; level 3",NA
"Pos","2',4'-dimethoxyacetophenone","C10 H12 O3",180.07864,13.381,"MSI Level III; level 3",NA
"Pos","ADENOSINE","C10 H13 N5 O4",267.09675,1.424,"MSI Level I; level 1",NA
"Pos","GUANOSINE","C10 H13 N5 O5",283.09167,1.15,"MSI Level I; level 1",NA
"Pos","4-(Diethylamino)benzenesulfonic acid","C10 H15 N O3 S",229.07726,7.87,"MSI Level III; level 3",NA
"Pos","(-)-(alpha)-Kainic Acid","C10 H15 N O4",213.10011,13.298,"MSI Level III; level 3",NA
"Pos","INGAVIRIN","C10 H15 N3 O3",225.11134,1.267,"MSI Level III; level 3",NA
"Pos","(4-tert-Butylphenyl)phosphonic acid","C10 H15 O3 P",214.07588,13.815,"MSI Level III; level 3",NA
"Pos","4-Boc-2-morpholinecarboxylic Acid","C10 H17 N O5",231.11067,7.7,"MSI Level III; level 3",NA
"Pos","tert-Butyl [5-(2-aminoethyl)-1,3-thiazol-2-yl]carbamate","C10 H17 N3 O2 S",243.10415,1.212,"MSI Level III; level 3",NA
"Pos","ala-gly-pro","C10 H17 N3 O4",243.12191,1.314,"MSI level III; level 3",NA
"Pos","GLUTATHIONE","C10 H17 N3 O6 S",307.08381,1.111,"MSI Level I; level 1",NA
"Pos","L-gamma-Glutamyl-L-valine","C10 H18 N2 O5",246.12157,3.046,"MSI Level III; level 3",NA
"Pos","asp-leu","C10 H18 N2 O5",246.12157,1.791,"MSI Level III; level 3",NA
"Pos","N~2~-Hydroxy-L-glutaminyl-L-cysteinylglycine","C10 H18 N4 O6 S",322.0947,0.878,"MSI Level III; level 3",NA
"Pos","Propionylcarnitine","C10 H19 N O4",217.13141,4.215,"MSI Level II; level 2",NA
"Pos","Propionylcarnitine","C10 H19 N O4",217.13141,3.95,"MSI Level II; level 2",NA
"Pos","tert-Butyl-2-(hydroxymethyl)morpholin-4-carboxylat","C10 H19 N O4",217.13141,3.805,"MSI Level III; level 3",NA
"Pos","Gly-Gly-Ile","C10 H19 N3 O4",245.13756,1.219,"MSI Level III; level 3",NA
"Pos","Valylglutamine","C10 H19 N3 O4",245.13756,1.685,"MSI Level III; level 3",NA
"Pos","Isoleucylasparagine","C10 H19 N3 O4",245.13756,3.112,"MSI Level III; level 3",NA
"Pos","L-Valylglycyl-L-serine","C10 H19 N3 O5",261.13247,1.237,"MSI Level III; level 3",NA
"Pos","1-(4-Morpholinylmethyl)cyclopentanamine","C10 H20 N2 O",184.15756,2.303,"MSI Level III; level 3",NA
"Pos","1,3,5-Trimethyl-3,7-diazabicyclo[3.3.1]nonan-9-ol","C10 H20 N2 O",184.15756,2.138,"MSI Level III; level 3",NA
"Pos","tert-Butyl-(morpholin-2-ylmethyl)carbamat","C10 H20 N2 O3",216.14739,2.532,"MSI Level III; level 3",NA
"Pos","Boc-L-ornithine","C10 H20 N2 O4",232.14231,2.97,"MSI Level III; level 3",NA
"Pos","tert-Butyl [(2S)-5-amino-1-hydroxy-5-oxopentan-2-yl]carbamate","C10 H20 N2 O4",232.14231,1.626,"MSI level III; level 3",NA
"Pos","mebutamate","C10 H20 N2 O4",232.14231,3.441,"MSI Level III; level 3",NA
"Pos","3-{[1-(Hydroxymethyl)cyclohexyl]amino}-1-propanesulfonic acid","C10 H21 N O4 S",251.11913,1.126,"MSI Level III; level 3",NA
"Pos","S78T1JQV6B","C10 H21 N O5",235.14197,1.124,"MSI Level III; level 3",NA
"Pos","PEG n5","C10 H22 O6",238.14164,6.655,"MSI Level II; level 3",NA
"Pos","95W232H4RT","C10 H24 N2 O3",220.17869,1.191,"MSI Level III; level 3",NA
"Pos","L-TRYPTOPHAN","C11 H12 N2 O2",204.08988,7.304,"MSI Level I; level 1",NA
"Pos","6VBR220ROM","C11 H13 N O3",207.08954,13.375,"MSI Level III; level 3",NA
"Pos","N-Acetyl-L-phenylalanine","C11 H13 N O3",207.08954,10.241,"MSI Level III; level 3",NA
"Pos","DA8G610ZO5","C11 H13 N O4",223.08446,13.542,"MSI Level III; level 3",NA
"Pos","Gly-Phe","C11 H14 N2 O3",222.10044,5.786,"MSI Level III; level 3",NA
"Pos","4-[(tert-Butoxycarbonyl)amino]nicotinic acid","C11 H14 N2 O4",238.09536,3.03,"MSI Level III; level 3",NA
"Pos","5'-METHYLTHIOADENOSINE","C11 H15 N5 O3 S",297.08956,7.468,"MSI Level I; level 1",NA
"Pos","5'-METHYLTHIOADENOSINE","C11 H15 N5 O3 S",297.08956,7.636,"MSI Level I; level 1",NA
"Pos","Adenylthiomethylpentose","C11 H15 N5 O3 S",297.08956,1.368,"MSI Level III; level 3",NA
"Pos","Acetylcarnosine","C11 H16 N4 O4",268.11715,1.121,"MSI Level III; level 3",NA
"Pos","2-Methyl 1-(2-methyl-2-propanyl) (2S,4R)-4-hydroxy-1,2-pyrrolidinedicarboxylate","C11 H19 N O5",245.12632,8.921,"MSI Level III; level 3",NA
"Pos","N-Acetylneuraminic acid","C11 H19 N O9",309.10598,0.886,"MSI Level I; level 3","56.69"
"Pos","L-gamma-Glutamyl-L-cysteinyl-beta-alanine","C11 H19 N3 O6 S",321.09946,1.146,"MSI Level III; level 3","53.85"
"Pos","Prolylleucine","C11 H20 N2 O3",228.14739,2.091,"MSI Level II; level 3",NA
"Pos","(3S)-6-Amino-3-({[(2-methyl-2-propanyl)oxy]carbonyl}amino)-6-oxohexanoic acid","C11 H20 N2 O5",260.13722,3.159,"MSI Level III; level 3",NA
"Pos","L-gamma-Glutamyl-L-leucine","C11 H20 N2 O5",260.13722,2.012,"MSI Level III; level 3",NA
"Pos","Diethyl 1-(2-methyl-3-oxo-2-butanyl)-1,2-hydrazinedicarboxylate","C11 H20 N2 O5",260.13722,3.73,"MSI Level III; level 3",NA
"Pos","N-(tert-Butoxycarbonyl)-L-leucine","C11 H21 N O4",231.14706,7.838,"MSI Level III; level 3",NA
"Pos","6-[(tert-butoxycarbonyl)amino]hexanoic acid","C11 H21 N O4",231.14706,7.542,"MSI Level III; level 3",NA
"Pos","N-(tert-Butoxycarbonyl)-3-methyl-D-valine","C11 H21 N O4",231.14706,8.079,"MSI Level III; level 3",NA
"Pos","2-[(tert-Butoxycarbonyl)amino]-2-deoxy-D-glucopyranose","C11 H21 N O7",279.1318,1.226,"MSI Level III; level 3",NA
"Pos","Glycyl-L-alanyl-L-isoleucine","C11 H21 N3 O4",259.15321,2.944,"MSI Level III; level 3",NA
"Pos","ala-leu-gly","C11 H21 N3 O4",259.15321,3.419,"MSI Level III; level 3",NA
"Pos","ile-gln","C11 H21 N3 O4",259.15321,1.113,"MSI Level III; level 3",NA
